MapVis
Landon;Roosevelt;1936;Gallup Final Poll;usa.svg;colorgradientus.png;Polling Averages on November 1, 53.8% for Roosevelt, 42.8% for Landon, Source: The Gallup Poll: Public Opinion 1935 - 1971
Republican;Leaning Republican;Tie;Leaning Democrat;Democrat
AL;Democrat;11
AK;NULL;0
AZ;Democrat;3
AR;Democrat;9
CA;Democrat;22
CO;Democrat;6
CT;Tie;8
DE;Democrat;3
DC;NULL;0
FL;Democrat;7
GA;Democrat;12
HI;NULL;0
ID;Democrat;4
IL;Tie;29
IN;Tie;14
IA;Tie;11
KS;Tie;9
KY;Democrat;11
LA;Democrat;10
ME;Republican;5
MD;Democrat;8
MA;Tie;17
MI;Tie;19
MN;Democrat;11
MS;Democrat;9
MO;Democrat;15
MT;Democrat;4
NE;Democrat;7
NV;Democrat;3
NH;Republican;4
NJ;Tie;16
NM;Democrat;3
NY;Democrat;47
NC;Democrat;13
ND;Democrat;4
OH;Tie;26
OK;Democrat;11
OR;Democrat;5
PA;Tie;36
RI;Tie;4
SC;Democrat;8
SD;Tie;4
TN;Democrat;11
TX;Democrat;23
UT;Democrat;4
VT;Republican;3
VA;Democrat;11
WA;Democrat;8
WV;Tie;8
WI;Democrat;12
WY;Tie;3
