MapVis
Willkie;Roosevelt;1940;Gallup Final Poll;usa.svg;colorgradientus.png;Polling Averages on November 4, 52% for Roosevelt, 48% for Willkie, Source: The Gallup Poll: Public Opinion 1935 - 1971
Republican;Leaning Republican;Tie;Leaning Democrat;Democrat
AL;Democrat;11
AK;NULL;0
AZ;Democrat;3
AR;Democrat;9
CA;Democrat;22
CO;Republican;6
CT;Leaning Democrat;8
DE;Democrat;3
DC;NULL;0
FL;Democrat;7
GA;Democrat;12
HI;NULL;0
ID;Leaning Republican;4
IL;Leaning Republican;29
IN;Republican;14
IA;Republican;11
KS;Republican;9
KY;Democrat;11
LA;Democrat;10
ME;Republican;5
MD;Democrat;8
MA;Leaning Democrat;17
MI;Leaning Republican;19
MN;Leaning Democrat;11
MS;Leaning Republican;9
MO;Leaning Republican;15
MT;Democrat;4
NE;Republican;7
NV;Democrat;3
NH;Leaning Republican;4
NJ;Leaning Democrat;16
NM;Leaning Democrat;3
NY;Leaning Republican;47
NC;Democrat;13
ND;Republican;4
OH;Leaning Republican;26
OK;Democrat;11
OR;Democrat;5
PA;Leaning Republican;36
RI;Democrat;4
SC;Democrat;8
SD;Republican;4
TN;Democrat;11
TX;Democrat;23
UT;Democrat;4
VT;Republican;3
VA;Democrat;11
WA;Democrat;8
WV;Democrat;8
WI;Leaning Republican;12
WY;Leaning Democrat;3
