MapVis
Harding v. Cox;1920;Literary Digest;usa.svg;colorgradientusfull.png;153'237 Straw Votes in Six Big States, 112'554 to Harding, 31'796 to Cox, Source: Literary Digest October 23, 1920
Republican;Leaning Republican;3rd;No prediction;Leaning Democrat;Democrat
Republican;No prediction
NH;No prediction;4
VT;No prediction;4
MA;No prediction;18
RI;No prediction;5
CT;No prediction;7
ME;No prediction;6
PA;No prediction;38
NJ;Republican;14
DE;No prediction;3
MD;No prediction;8
WV;No prediction;8
VA;No prediction;12
MI;No prediction;15
WI;No prediction;13
KY;No prediction;13
MN;No prediction;12
IA;No prediction;13
MO;No prediction;18
KS;No prediction;10
NE;No prediction;8
SD;No prediction;5
ND;No prediction;5
CO;No prediction;6
WY;No prediction;3
MT;No prediction;4
NV;No prediction;3
AZ;No prediction;3
NM;No prediction;3
UT;No prediction;4
ID;No prediction;4
WA;No prediction;7
OR;No prediction;5
CA;Republican;13
NY;Republican;45
OH;Republican;24
IN;Republican;15
IL;Republican;29
TX;No prediction;20
OK;No prediction;10
AR;No prediction;9
LA;No prediction;10
MS;No prediction;10
TN;No prediction;12
AL;No prediction;12
GA;No prediction;14
FL;No prediction;6
SC;No prediction;9
NC;No prediction;12
HI;NULL;0
AK;NULL;0
DC;NULL;0
