MapVis
Coolidge v. LaFollette v. Davis;1924;Literary Digest;usa.svg;colorgradientusfull.png;2'386'052 Straw Votes, 1'348'033 for Coolidge, 508'516 for LaFollette, 505'410 for Davis, Source: Literary Digest November 1, 1924
Republican;Leaning Republican;Progressive;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;Democrat;12;29.04;61.52
AK;NULL;0;0;0
AZ;Republican;3;49.71;23.33
AR;Democrat;9;30.37;58.52
CA;Tie;13;49.74;6.66
CO;Republican;6;63.11;15.46
CT;Republican;7;74.49;11.20
DE;Republican;3;62.47;29.23
DC;NULL;0;0;0
FL;Democrat;6;37.89;48.53
GA;Democrat;14;21.84;67.44
HI;NULL;0;0;0
ID;Republican;4;52.69;13.65
IL;Republican;29;62.16;12.20
IN;Republican;15;63.54;22.73
IA;Republican;13;58.17;12.90
KS;Republican;10;62.90;17.82
KY;Democrat;13;44.65;44.93
LA;Democrat;10;34.13;49.72
ME;Republican;6;78.62;13.13
MD;Tie;8;45.67;33.73
MA;Republican;18;75.14;9.75
MI;Republican;15;69.65;8.24
MN;Republican;12;57.82;8.79
MS;Democrat;10;16.26;76.42
MO;Republican;18;52.44;34.89
MT;Republican;4;54.19;12.84
NE;Republican;8;53.33;22.73
NV;Tie;3;49.50;14.00
NH;Republican;4;74.73;15.42
NJ;Republican;14;71.24;13.35
NM;Republican;3;45.54;27.97
NY;Republican;45;63.52;13.85
NC;Democrat;12;36.50;58.36
ND;Tie;5;53.60;10.42
OH;Republican;24;61.60;16.13
OK;Tie;10;47.29;39.49
OR;Republican;5;56.21;15.96
PA;Republican;38;64.65;13.74
RI;Republican;5;79.01;10.45
SC;Democrat;9;10.53;84.06
SD;Tie;5;50.61;11.15
TN;Democrat;12;39.74;52.32
TX;Democrat;20;33.68;53.65
UT;Republican;4;53.49;20.69
VT;Republican;4;82.00;8.20
VA;Democrat;12;33.76;56.29
WA;Republican;7;54.41;9.80
WV;Tie;8;51.69;40.47
WI;Progressive;13;40.04;6.75
WY;Republican;3;58.80;12.79
