MapVis
Landon v. Roosevelt;1936;Literary Digest;usa.svg;colorgradientusfull.png;2'266'566 Straw Votes, 1'293'669 for Landon, 972'897 for Roosevelt, Source: Literary Digest October 31, 1936
Republican;Leaning Republican;3rd;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;Democrat;11
AK;NULL;0
AZ;Republican;3
AR;Democrat;9
CA;Republican;22
CO;Republican;6
CT;Republican;8
DE;Republican;3
DC;NULL;0
FL;Democrat;7
GA;Democrat;12
HI;NULL;0
ID;Republican;4
IL;Republican;29
IN;Republican;14
IA;Republican;11
KS;Republican;9
KY;Democrat;11
LA;Democrat;10
ME;Republican;5
MD;Leaning Democrat;8
MA;Republican;17
MI;Republican;19
MN;Republican;11
MS;Democrat;9
MO;Republican;15
MT;Republican;4
NE;Republican;7
NV;Leaning Republican;3
NH;Republican;4
NJ;Republican;16
NM;Democrat;3
NY;Republican;47
NC;Democrat;13
ND;Republican;4
OH;Republican;26
OK;Leaning Democrat;11
OR;Leaning Republican;5
PA;Republican;36
RI;Republican;4
SC;Democrat;8
SD;Republican;4
TN;Democrat;11
TX;Democrat;23
UT;Democrat;4
VT;Republican;3
VA;Democrat;11
WA;Republican;8
WV;Republican;8
WI;Republican;12
WY;Republican;3
