MapVis
Hughes v. Wilson;1916;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;3rd;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;Democrat;12
AK;NULL;0
AZ;Democrat;3
AR;Democrat;9
CA;Democrat;13
CO;Democrat;6
CT;Republican;7
DE;Republican;3
DC;NULL;0
FL;Democrat;6
GA;Democrat;14
HI;NULL;0
ID;Democrat;4
IL;Republican;29
IN;Republican;15
IA;Republican;13
KS;Democrat;10
KY;Democrat;13
LA;Democrat;10
ME;Republican;6
MD;Democrat;8
MA;Republican;18
MI;Republican;15
MN;Republican;12
MS;Democrat;10
MO;Democrat;18
MT;Democrat;4
NE;Democrat;8
NV;Democrat;3
NH;Democrat;4
NJ;Republican;14
NM;Democrat;3
NY;Republican;45
NC;Democrat;12
ND;Democrat;5
OH;Democrat;24
OK;Democrat;10
OR;Republican;5
PA;Republican;38
RI;Republican;5
SC;Democrat;9
SD;Republican;5
TN;Democrat;12
TX;Democrat;20
UT;Democrat;4
VT;Republican;4
VA;Democrat;12
WA;Democrat;7
WV;Republican;8
WI;Republican;13
WY;Democrat;3
