MapVis;;;;;
Coolidge v. LaFollette v. Davis;1924;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;Progressive;Tie;Leaning Democrat;Democrat
Republican;Democrat;;;;
AL;Democrat;12;27. Jan;67.81;
AK;NULL;0;0;0;
AZ;Republican;3;41.26;35.47;
AR;Democrat;9;29.28;61.21;
CA;Republican;13;57.20;Aug 23;
CO;Republican;6;57.02;21.98;
CT;Republican;7;61.54;27.53;
DE;Republican;3;57.70;36.80;
DC;NULL;0;0;0;
FL;Democrat;6;28. Jun;56.88;
GA;Democrat;14;18.19;73.96;
HI;NULL;0;0;0;
ID;Republican;4;47.12;16.36;
IL;Republican;29;58.84;23.36;
IN;Republican;15;55.25;38.69;
IA;Republican;13;55.03;16.64;
KS;Republican;10;61.54;23.60;
KY;Republican;13;48.93;45.98;
LA;Democrat;10;20.23;76.44;
ME;Republican;6;72.03;21.83;
MD;Republican;8;45.29;41.29;
MA;Republican;18;62.26;24.86;
MI;Republican;15;75.37;13.13;
MN;Republican;12;51.18;Jun 80;
MS;Democrat;10;Jul 55;89.34;
MO;Republican;18;49.58;43.79;
MT;Republican;4;42.50;19.38;
NE;Republican;8;47.09;29.58;
NV;Republican;3;41.76;21.95;
NH;Republican;4;59.83;34.72;
NJ;Republican;14;62.17;27.41;
NM;Republican;3;48.52;43.02;
NY;Republican;45;55.76;29.13;
NC;Democrat;12;39.73;58.89;
ND;Republican;5;47.68;Jun 96;
OH;Republican;24;58.33;23.70;
OK;Democrat;10;42.82;48.41;
OR;Republican;5;51.01;24.18;
PA;Republican;38;65.34;19. Aug;
RI;Republican;5;59.63;36.46;
SC;Democrat;9;Feb 21;96.56;
SD;Republican;5;49.69;13.35;
TN;Democrat;12;43.59;52.80;
TX;Democrat;20;19.78;73.70;
UT;Republican;4;49.26;29.94;
VT;Republican;4;78.22;15.67;
VA;Democrat;12;32.79;62.48;
WA;Republican;7;52.24;Okt 16;
WV;Republican;8;49.45;44.07;
WI;Progressive;13;37.06;08. Okt;
WY;Republican;3;52.39;16. Nov;
