MapVis
Hoover v. Roosevelt;1932;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;3rd;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;Democrat;11
AK;NULL;0
AZ;Democrat;3
AR;Democrat;9
CA;Democrat;22
CO;Democrat;6
CT;Republican;8
DE;Republican;3
DC;NULL;0
FL;Democrat;7
GA;Democrat;12
HI;NULL;0
ID;Democrat;4
IL;Democrat;29
IN;Democrat;14
IA;Democrat;11
KS;Democrat;9
KY;Democrat;11
LA;Democrat;10
ME;Republican;5
MD;Democrat;8
MA;Democrat;17
MI;Democrat;19
MN;Democrat;11
MS;Democrat;9
MO;Democrat;15
MT;Democrat;4
NE;Democrat;7
NV;Democrat;3
NH;Republican;4
NJ;Democrat;16
NM;Democrat;3
NY;Democrat;47
NC;Democrat;13
ND;Democrat;4
OH;Democrat;26
OK;Democrat;11
OR;Democrat;5
PA;Republican;36
RI;Democrat;4
SC;Democrat;8
SD;Democrat;4
TN;Democrat;11
TX;Democrat;23
UT;Democrat;4
VT;Republican;3
VA;Democrat;11
WA;Democrat;8
WV;Democrat;8
WI;Democrat;12
WY;Democrat;3
