MapVis
Goldwater v. Johnson;1964;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;3rd;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;Republican;10
AK;Democrat;3
AZ;Republican;5
AR;Democrat;6
CA;Democrat;40
CO;Democrat;6
CT;Democrat;8
DE;Democrat;3
DC;Democrat;3
FL;Democrat;14
GA;Republican;12
HI;Democrat;4
ID;Democrat;4
IL;Democrat;26
IN;Democrat;13
IA;Democrat;9
KS;Democrat;7
KY;Democrat;9
LA;Republican;10
ME;Democrat;4
MD;Democrat;10
MA;Democrat;14
MI;Democrat;21
MN;Democrat;10
MS;Republican;7
MO;Democrat;12
MT;Democrat;4
NE;Democrat;5
NV;Democrat;3
NH;Democrat;4
NJ;Democrat;17
NM;Democrat;4
NY;Democrat;43
NC;Democrat;13
ND;Democrat;4
OH;Democrat;26
OK;Democrat;8
OR;Democrat;6
PA;Democrat;29
RI;Democrat;4
SC;Republican;8
SD;Democrat;4
TN;Democrat;11
TX;Democrat;25
UT;Democrat;4
VT;Democrat;3
VA;Democrat;12
WA;Democrat;9
WV;Democrat;7
WI;Democrat;12
WY;Democrat;3
