MapVis
Nixon v. McGovern;1972;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;3rd;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;Republican;9
AK;Republican;3
AZ;Republican;6
AR;Republican;6
CA;Republican;45
CO;Republican;7
CT;Republican;8
DE;Republican;3
DC;Democrat;3
FL;Republican;17
GA;Republican;12
HI;Republican;4
ID;Republican;4
IL;Republican;26
IN;Republican;13
IA;Republican;8
KS;Republican;7
KY;Republican;9
LA;Republican;10
ME;Republican;4
MD;Republican;10
MA;Democrat;14
MI;Republican;21
MN;Republican;10
MS;Republican;7
MO;Republican;12
MT;Republican;4
NE;Republican;5
NV;Republican;3
NH;Republican;4
NJ;Republican;17
NM;Republican;4
NY;Republican;41
NC;Republican;13
ND;Republican;3
OH;Republican;25
OK;Republican;8
OR;Republican;6
PA;Republican;27
RI;Republican;4
SC;Republican;8
SD;Republican;4
TN;Republican;10
TX;Republican;26
UT;Republican;4
VT;Republican;3
VA;Republican;12
WA;Republican;9
WV;Republican;6
WI;Republican;11
WY;Republican;3
