MapVis
Ford v. Carter;1976;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;3rd;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;Democrat;9
AK;Republican;3
AZ;Republican;6
AR;Democrat;6
CA;Republican;45
CO;Republican;7
CT;Republican;8
DE;Democrat;3
DC;Democrat;3
FL;Democrat;17
GA;Democrat;12
HI;Democrat;4
ID;Republican;4
IL;Republican;26
IN;Republican;13
IA;Republican;8
KS;Republican;7
KY;Democrat;9
LA;Democrat;10
ME;Republican;4
MD;Democrat;10
MA;Democrat;14
MI;Republican;21
MN;Democrat;10
MS;Democrat;7
MO;Democrat;12
MT;Republican;4
NE;Republican;5
NV;Republican;3
NH;Republican;4
NJ;Republican;17
NM;Republican;4
NY;Democrat;41
NC;Democrat;13
ND;Republican;3
OH;Democrat;25
OK;Republican;8
OR;Republican;6
PA;Democrat;27
RI;Democrat;4
SC;Democrat;8
SD;Republican;4
TN;Democrat;10
TX;Democrat;26
UT;Republican;4
VT;Republican;3
VA;Republican;12
WA;Republican;9
WV;Democrat;6
WI;Democrat;11
WY;Republican;3
