MapVis;;;;;
Bush v. Dukakis;1988;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;3rd;Tie;Leaning Democrat;Democrat
Republican;Democrat;;;;
AL;Republican;9;59.17;39.86;
AK;Republican;3;59.59;36.27;
AZ;Republican;7;59.95;38.74;
AR;Republican;6;56.37;42.19;
CA;Republican;47;51.13;47.56;
CO;Republican;8;53.06;45.28;
CT;Republican;8;51.98;46.87;
DE;Republican;3;55.88;43.48;
DC;Democrat;3;14.30;82.65;
FL;Republican;21;60.87;38.51;
GA;Republican;12;59.75;39.50;
HI;Democrat;4;44.75;54.27;
ID;Republican;4;62.08;36.01;
IL;Republican;24;50.69;48.60;
IN;Republican;12;59.84;39.69;
IA;Democrat;8;44.50;54.71;
KS;Republican;7;55.79;42.56;
KY;Republican;9;55.52;43.88;
LA;Republican;10;54.27;44.06;
ME;Republican;4;55.34;43.88;
MD;Republican;10;51.11;48.20;
MA;Democrat;13;45.38;53.23;
MI;Republican;20;53.57;45.67;
MN;Democrat;10;45.90;52.91;
MS;Republican;7;59.89;39.07;
MO;Republican;11;51.83;47.85;
MT;Republican;4;52.07;46.20;
NE;Republican;5;60.15;39.20;
NV;Republican;4;58.86;37.92;
NH;Republican;4;62.49;36.33;
NJ;Republican;16;56.24;42.60;
NM;Republican;5;51.86;46.90;
NY;Democrat;36;47.52;51.62;
NC;Republican;13;57.97;41.71;
ND;Republican;3;56.03;42.97;
OH;Republican;23;55.00;44.15;
OK;Republican;8;57.93;41.28;
OR;Democrat;7;46.61;51.28;
PA;Republican;25;50.70;48.39;
RI;Democrat;4;43.93;55.64;
SC;Republican;8;61.50;37.58;
SD;Republican;3;52.85;46.51;
TN;Republican;11;57.89;41.55;
TX;Republican;29;55.95;43.35;
UT;Republican;5;66.22;32.05;
VT;Republican;3;51.10;47.58;
VA;Republican;12;59.74;39.23;
WA;Democrat;10;48.46;50.05;
WV;Democrat;6;47.46;52.20;
WI;Democrat;11;47.80;51.41;
WY;Republican;3;60.53;38.01;
