MapVis;;;;;
Bush v. Clinton;1992;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;3rd;Tie;Leaning Democrat;Democrat
Republican;Democrat;;;;
AL;Republican;9;47.65;40.88;
AK;Republican;3;39.46;30.29;
AZ;Republican;8;38.47;36.52;
AR;Democrat;6;35.48;53.21;
CA;Democrat;54;32.61;46.01;
CO;Democrat;8;35.87;40.13;
CT;Democrat;8;35.78;42.21;
DE;Democrat;3;35.78;43.52;
DC;Democrat;3;09. Okt;84.64;
FL;Republican;25;40.89;39.00;
GA;Democrat;13;42.88;43.47;
HI;Democrat;4;36.70;48.09;
ID;Republican;4;42.03;28.42;
IL;Democrat;22;34.34;48.58;
IN;Republican;12;42.91;36.79;
IA;Democrat;7;37.27;43.29;
KS;Republican;6;38.88;33.74;
KY;Democrat;8;41.34;44.55;
LA;Democrat;9;40.97;45.58;
ME;Democrat;4;30.39;38.77;
MD;Democrat;10;35.62;49.80;
MA;Democrat;12;29. Mrz;47.54;
MI;Democrat;18;36.38;43.77;
MN;Democrat;10;31.85;43.48;
MS;Republican;7;49.68;40.77;
MO;Democrat;11;33.92;44.07;
MT;Democrat;3;35.12;37.63;
NE;Republican;5;46.58;29.40;
NV;Democrat;4;34.73;37.36;
NH;Democrat;4;37.69;38.91;
NJ;Democrat;15;40.58;42.95;
NM;Democrat;5;37.34;45.90;
NY;Democrat;33;33.88;49.73;
NC;Republican;14;43.44;42.65;
ND;Republican;3;44.22;32.18;
OH;Democrat;21;38.35;40.18;
OK;Republican;8;42.65;34.02;
OR;Democrat;7;32.53;42.48;
PA;Democrat;23;36.13;45.15;
RI;Democrat;4;29.02;47.04;
SC;Republican;8;48.02;39.88;
SD;Republican;3;40.66;37.14;
TN;Democrat;11;42.43;47.08;
TX;Republican;32;40.56;37.08;
UT;Republican;5;43.36;24.65;
VT;Democrat;3;30.42;46.11;
VA;Republican;13;44.97;40.59;
WA;Democrat;11;31.97;43.41;
WV;Democrat;5;35.39;48.41;
WI;Democrat;11;36.78;41.13;
WY;Republican;3;39.70;34.10;
