MapVis
Dole v. Clinton	1996	Actual Results	usa.svg	colorgradientusfull.png	Election Results not considering faithless Electors
Republican	Leaning Republican	3rd	Tie	Leaning Democrat	Democrat
Republican	Democrat
AL	Republican	9	50.12	43.16
AK	Republican	3	50.80	33.27
AZ	Democrat	8	44.29	46.52
AR	Democrat	6	36.80	53.74
CA	Democrat	54	38.21	51.10
CO	Republican	8	45.80	44.43
CT	Democrat	8	34.69	52.83
DE	Democrat	3	36.58	51.80
DC	Democrat	3	9.34	85.19
FL	Democrat	25	42.32	48.02
GA	Republican	13	47.01	45.84
HI	Democrat	4	31.64	56.93
ID	Republican	4	52.18	33.65
IL	Democrat	22	36.81	54.32
IN	Republican	12	47.13	41.55
IA	Democrat	7	39.92	50.26
KS	Republican	6	54.29	36.08
KY	Democrat	8	44.88	45.84
LA	Democrat	9	39.94	52.01
ME	Democrat	4	30.76	51.62
MD	Democrat	10	38.27	54.25
MA	Democrat	12	28.09	61.47
MI	Democrat	18	38.48	51.69
MN	Democrat	10	34.96	51.10
MS	Republican	7	49.21	44.08
MO	Democrat	11	41.24	47.54
MT	Republican	3	44.11	41.23
NE	Republican	5	53.65	34.95
NV	Democrat	4	42.91	43.93
NH	Democrat	4	39.37	49.32
NJ	Democrat	15	35.86	53.72
NM	Democrat	5	41.86	49.18
NY	Democrat	33	30.61	59.47
NC	Republican	14	48.73	44.04
ND	Republican	3	46.94	40.13
OH	Democrat	21	41.02	47.38
OK	Republican	8	48.26	40.45
OR	Democrat	7	39.06	47.15
PA	Democrat	23	39.97	49.17
RI	Democrat	4	26.82	59.71
SC	Republican	8	49.89	43.85
SD	Republican	3	46.49	43.03
TN	Democrat	11	45.59	48.00
TX	Republican	32	48.76	43.83
UT	Republican	5	54.37	33.30
VT	Democrat	3	31.09	53.35
VA	Republican	13	47.10	45.15
WA	Democrat	11	37.30	49.84
WV	Democrat	5	36.76	51.51
WI	Democrat	11	38.48	48.81
WY	Republican	3	49.81	36.84
