MapVis
Bush v. Gore;2000;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;3rd;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;Republican;9
AK;Republican;3
AZ;Republican;8
AR;Republican;6
CA;Democrat;54
CO;Republican;8
CT;Democrat;8
DE;Democrat;3
DC;Democrat;3
FL;Republican;25
GA;Republican;13
HI;Democrat;4
ID;Republican;4
IL;Democrat;22
IN;Republican;12
IA;Democrat;7
KS;Republican;6
KY;Republican;8
LA;Republican;9
ME;Democrat;4
MD;Democrat;10
MA;Democrat;12
MI;Democrat;18
MN;Democrat;10
MS;Republican;7
MO;Republican;11
MT;Republican;3
NE;Republican;5
NV;Republican;4
NH;Republican;4
NJ;Democrat;15
NM;Democrat;5
NY;Democrat;33
NC;Republican;14
ND;Republican;3
OH;Republican;21
OK;Republican;8
OR;Democrat;7
PA;Democrat;23
RI;Democrat;4
SC;Republican;8
SD;Republican;3
TN;Republican;11
TX;Republican;32
UT;Republican;5
VT;Democrat;3
VA;Republican;13
WA;Democrat;11
WV;Republican;5
WI;Democrat;11
WY;Republican;3
