MapVis
Bush v. Kerry;2004;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;3rd;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;Republican;9
AK;Republican;3
AZ;Republican;10
AR;Republican;6
CA;Democrat;55
CO;Republican;9
CT;Democrat;7
DE;Democrat;3
DC;Democrat;3
FL;Republican;27
GA;Republican;15
HI;Democrat;4
ID;Republican;4
IL;Democrat;21
IN;Republican;11
IA;Republican;7
KS;Republican;6
KY;Republican;8
LA;Republican;9
ME;Democrat;4
MD;Democrat;10
MA;Democrat;12
MI;Democrat;17
MN;Democrat;10
MS;Republican;6
MO;Republican;11
MT;Republican;3
NE;Republican;5
NV;Republican;5
NH;Democrat;4
NJ;Democrat;15
NM;Republican;5
NY;Democrat;31
NC;Republican;15
ND;Republican;3
OH;Republican;20
OK;Republican;7
OR;Democrat;7
PA;Democrat;21
RI;Democrat;4
SC;Republican;8
SD;Republican;3
TN;Republican;11
TX;Republican;34
UT;Republican;5
VT;Democrat;3
VA;Republican;13
WA;Democrat;11
WV;Republican;5
WI;Democrat;10
WY;Republican;3
