MapVis
McCain v. Obama;2008;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;3rd;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;Republican;9;60.32;38.74
AK;Republican;3;59.42;37.89
AZ;Republican;10;53.64;45.12
AR;Republican;6;58.72;38.86
CA;Democrat;55;36.95;61.01
CO;Democrat;9;44.71;53.66
CT;Democrat;7;38.22;60.59
DE;Democrat;3;36.95;61.94
DC;Democrat;3;6.53;92.46
FL;Democrat;27;48.22;51.03
GA;Republican;15;52.20;46.99
HI;Democrat;4;26.58;71.85
ID;Republican;4;61.52;36.09
IL;Democrat;21;36.78;61.92
IN;Democrat;11;48.91;49.95
IA;Democrat;7;44.39;53.93
KS;Republican;6;56.61;41.65
KY;Republican;8;57.40;41.17
LA;Republican;9;58.56;39.93
ME;Democrat;4;40.38;57.71
MD;Democrat;10;36.47;61.92
MA;Democrat;12;35.99;61.80
MI;Democrat;17;40.96;57.43
MN;Democrat;10;43.82;54.06
MS;Republican;6;56.18;43.00
MO;Republican;11;49.43;49.29
MT;Republican;3;49.51;47.25
NE;Republican;2;56.53;41.60
NV;Democrat;5;42.65;55.15
NH;Democrat;4;44.52;54.13
NJ;Democrat;15;41.70;57.27
NM;Democrat;5;41.78;56.91
NY;Democrat;31;36.03;62.88
NC;Democrat;15;49.38;49.70
ND;Republican;3;53.25;44.62
OH;Democrat;20;46.91;51.50
OK;Republican;7;65.65;34.35
OR;Democrat;7;40.40;56.75
PA;Democrat;21;44.17;54.49
RI;Democrat;4;35.06;62.86
SC;Republican;8;53.87;44.90
SD;Republican;3;53.16;44.75
TN;Republican;11;56.90;41.83
TX;Republican;34;55.45;43.68
UT;Republican;5;62.58;34.41
VT;Democrat;3;30.45;67.46
VA;Democrat;13;46.33;52.63
WA;Democrat;11;40.48;57.65
WV;Republican;5;55.71;42.59
WI;Democrat;10;42.31;56.22
WY;Republican;3;64.78;32.54
N1;Republican;1;54.10;44.33
N2;Democrat;1;48.75;49.97
N3;Republican;1;68.64;29.63
