MapVis
Romney v. Obama	2012	Actual Results	usa.svg	colorgradientusfull.png	Election Results not considering faithless Electors
Republican	Leaning Republican	3rd	Tie	Leaning Democrat	Democrat
Republican	Democrat
AL	Republican	9	60.55	38.36
AK	Republican	3	54.80	40.81
AZ	Republican	11	53.65	44.59
AR	Republican	6	60.57	36.88
CA	Democrat	55	37.12	60.24
CO	Democrat	9	46.13	51.49
CT	Democrat	7	40.73	58.06
DE	Democrat	3	39.98	58.61
DC	Democrat	3	7.28	90.91
FL	Democrat	29	49.13	50.01
GA	Republican	16	53.30	45.48
HI	Democrat	4	27.84	70.55
ID	Republican	4	64.53	32.62
IL	Democrat	20	40.73	57.60
IN	Republican	11	54.13	43.93
IA	Democrat	6	46.18	51.99
KS	Republican	6	59.71	37.99
KY	Republican	8	60.49	37.80
LA	Republican	8	57.78	40.58
ME	Democrat	4	40.98	56.27
MD	Democrat	10	35.90	61.97
MA	Democrat	11	37.51	60.65
MI	Democrat	16	44.71	54.21
MN	Democrat	10	44.96	52.65
MS	Republican	6	55.29	43.79
MO	Republican	10	53.76	44.38
MT	Republican	3	55.35	41.70
NE	Republican	5	59.80	38.03
NV	Democrat	6	45.68	52.36
NH	Democrat	4	46.40	51.98
NJ	Democrat	14	40.59	58.38
NM	Democrat	5	42.84	52.99
NY	Democrat	29	35.17	63.35
NC	Republican	15	50.39	48.35
ND	Republican	3	58.32	38.69
OH	Democrat	18	47.69	50.67
OK	Republican	7	66.77	33.23
OR	Democrat	7	42.15	54.24
PA	Democrat	20	46.59	51.97
RI	Democrat	4	35.24	62.70
SC	Republican	9	54.56	44.09
SD	Republican	3	57.89	39.87
TN	Republican	11	59.48	39.08
TX	Republican	38	57.17	41.38
UT	Republican	6	72.79	24.75
VT	Democrat	3	30.97	66.57
VA	Democrat	13	47.28	51.16
WA	Democrat	12	41.29	56.16
WV	Republican	5	62.30	35.54
WI	Democrat	10	45.89	52.83
WY	Republican	3	68.64	27.82

