MapVis
Trump v. Biden;2020;Actual Results;usa.svg;colorgradientusfull.png;Election Results not considering faithless Electors
Republican;Leaning Republican;3rd;Tie;Leaning Democrat;Democrat
Republican;Democrat
AL;Republican;9
AK;Republican;3
AZ;Democrat;11
AR;Republican;6
CA;Democrat;55
CO;Democrat;9
CT;Democrat;7
DE;Democrat;3
DC;Democrat;3
FL;Republican;29
GA;Democrat;16
HI;Democrat;4
ID;Republican;4
IL;Democrat;20
IN;Republican;11
IA;Republican;6
KS;Republican;6
KY;Republican;8
LA;Republican;8
ME;Democrat;2
MD;Democrat;10
MA;Democrat;11
MI;Democrat;16
MN;Democrat;10
MS;Republican;6
MO;Republican;10
MT;Republican;3
NE;Republican;2
NV;Democrat;6
NH;Democrat;4
NJ;Democrat;14
NM;Democrat;5
NY;Democrat;29
NC;Republican;15
ND;Republican;3
OH;Republican;18
OK;Republican;7
OR;Democrat;7
PA;Democrat;20
RI;Democrat;4
SC;Republican;9
SD;Republican;3
TN;Republican;11
TX;Republican;38
UT;Republican;6
VT;Democrat;3
VA;Democrat;13
WA;Democrat;12
WV;Republican;5
WI;Democrat;10
WY;Republican;3
N1;Republican;1
N2;Democrat;1
N3;Republican;1
M1;Democrat;1
M2;Republican;1
