TableVis
Hoover (R) v. Roosevelt (D)	1932	13 Key-Vorhersage	Null	colorgradientusfull.png	Vorhersage nach Allan J. Lichtman's Predicting the next President
Republikanisch	Tendenz Republikanisch	Drittpartei	Unentschieden	Tendenz Demokratisch	Demokratisch
Republikanisch	Demokratisch
Partei-Mandat	False
Kein Konflikt um Nominierung	True
Amtsinhaber tritt an	True
Keine dritte Partei	True
Kurzfristige Wirtschaft	False
Langfristige Wirtschaft	False
Wichtige Gesetzesänderung	False
Keine sozialen Unruhen	False
Keine Skandale	True
Keine Rückschläge in der Aussenpolitik	True
Erfolg in der Aussenpolitik	False
Amtsinhaber-Charisma	False
Kein Herausforderer-Charisma	False
