TableVis
Goldwater (R) v. Johnson (D)	1964	13 Key-Vorhersage	Null	colorgradientusfull.png	Vorhersage nach Allan J. Lichtman's Predicting the next President
Republikanisch	Tendenz Republikanisch	Drittpartei	Unentschieden	Tendenz Demokratisch	Demokratisch
Demokratisch	Republikanisch
Partei-Mandat	False
Kein Konflikt um Nominierung	True
Amtsinhaber tritt an	True
Keine dritte Partei	True
Kurzfristige Wirtschaft	True
Langfristige Wirtschaft	True
Wichtige Gesetzesänderung	True
Keine sozialen Unruhen	True
Keine Skandale	True
Keine Rückschläge in der Aussenpolitik	False
Erfolg in der Aussenpolitik	True
Amtsinhaber-Charisma	False
Kein Herausforderer-Charisma	True
