MapVis					
Landon (R) v. Roosevelt (D)	1936	Letzte Gallup-Umfrage	usa.svg	colorgradientusfull.png	Umfragewerte am 1. November, 53.8% für Roosevelt, 42.8% für Landon, Quelle: The Gallup Poll: Public Opinion 1935 - 1971
Republikanisch	Tendenz Republikanisch	Drittpartei	Unentschieden	Tendenz Demokratisch	Demokratisch
Republikanisch	Demokratisch				
AL	Demokratisch	11			
AK	NULL	0			
AZ	Demokratisch	3			
AR	Demokratisch	9			
CA	Demokratisch	22			
CO	Demokratisch	6			
CT	Unentschieden	8			
DE	Demokratisch	3			
DC	NULL	0			
FL	Demokratisch	7			
GA	Demokratisch	12			
HI	NULL	0			
ID	Demokratisch	4			
IL	Unentschieden	29			
IN	Unentschieden	14			
IA	Unentschieden	11			
KS	Unentschieden	9			
KY	Demokratisch	11			
LA	Demokratisch	10			
ME	Republikanisch	5			
MD	Demokratisch	8			
MA	Unentschieden	17			
MI	Unentschieden	19			
MN	Demokratisch	11			
MS	Demokratisch	9			
MO	Demokratisch	15			
MT	Demokratisch	4			
NE	Demokratisch	7			
NV	Demokratisch	3			
NH	Republikanisch	4			
NJ	Unentschieden	16			
NM	Demokratisch	3			
NY	Demokratisch	47			
NC	Demokratisch	13			
ND	Demokratisch	4			
OH	Unentschieden	26			
OK	Demokratisch	11			
OR	Demokratisch	5			
PA	Unentschieden	36			
RI	Unentschieden	4			
SC	Demokratisch	8			
SD	Unentschieden	4			
TN	Demokratisch	11			
TX	Demokratisch	23			
UT	Demokratisch	4			
VT	Republikanisch	3			
VA	Demokratisch	11			
WA	Demokratisch	8			
WV	Unentschieden	8			
WI	Demokratisch	12			
WY	Unentschieden	3			
