MapVis					
Willkie (R) v. Roosevelt (D)	1940	Letzte Gallup-Umfrage	usa.svg	colorgradientusfull.png	Umfragewerte am 4. November, 52% für Roosevelt, 48% für Willkie, Quelle: The Gallup Poll: Public Opinion 1935 - 1971
Republikanisch	Tendenz Republikanisch	Drittpartei	Unentschieden	Tendenz Demokratisch	Demokratisch
Republikanisch	Demokratisch				
AL	Demokratisch	11	14.00	86.00	
AK	NULL	0	0	0	
AZ	Demokratisch	3	39.00	61.00	
AR	Demokratisch	9	18.00	82.00	
CA	Demokratisch	22	42.00	58.00	
CO	Republikanisch	6	55.00	45.00	
CT	Tendenz Demokratisch	8	47.00	53.00	
DE	Demokratisch	3	44.00	56.00	
DC	NULL	0	0	0	
FL	Demokratisch	7	28.00	72.00	
GA	Demokratisch	12	13.00	87.00	
HI	NULL	0	0	0	
ID	Tendenz Republikanisch	4	51.00	49.00	
IL	Tendenz Republikanisch	29	52.00	48.00	
IN	Republikanisch	14	55.00	45.00	
IA	Republikanisch	11	55.00	45.00	
KS	Republikanisch	9	57.00	43.00	
KY	Demokratisch	11	46.00	54.00	
LA	Demokratisch	10	14.00	86.00	
ME	Republikanisch	5	57.00	43.00	
MD	Demokratisch	8	41.00	59.00	
MA	Tendenz Demokratisch	17	49.00	51.00	
MI	Tendenz Republikanisch	19	52.00	48.00	
MN	Tendenz Demokratisch	11	49.00	51.00	
MS	Demokratisch	9	6.00	94.00	
MO	Tendenz Republikanisch	15	51.00	49.00	
MT	Demokratisch	4	43.00	57.00	
NE	Republikanisch	7	59.00	41.00	
NV	Demokratisch	3	44.00	56.00	
NH	Tendenz Republikanisch	4	51.00	49.00	
NJ	Tendenz Demokratisch	16	48.00	52.00	
NM	Tendenz Demokratisch	3	47.00	53.00	
NY	Tendenz Republikanisch	47	51.00	49.00	
NC	Demokratisch	13	28.00	72.00	
ND	Republikanisch	4	54.00	46.00	
OH	Tendenz Republikanisch	26	51.00	49.00	
OK	Demokratisch	11	44.00	56.00	
OR	Demokratisch	5	46.00	54.00	
PA	Tendenz Republikanisch	36	51.00	49.00	
RI	Demokratisch	4	46.00	54.00	
SC	Demokratisch	8	3.00	97.00	
SD	Republikanisch	4	59.00	41.00	
TN	Demokratisch	11	36.00	64.00	
TX	Demokratisch	23	21.00	79.00	
UT	Demokratisch	4	45.00	55.00	
VT	Republikanisch	3	58.00	42.00	
VA	Demokratisch	11	30.00	70.00	
WA	Demokratisch	8	43.00	57.00	
WV	Demokratisch	8	41.00	59.00	
WI	Tendenz Republikanisch	12	52.00	48.00	
WY	Tendenz Demokratisch	3	47.00	53.00	
