MapVis					
Dewey (R) v. Truman (D)	1948	Letzte Gallup-Umfrage	usa.svg	colorgradientusfull.png	Umfragewerte am 4. November, 49.5% für Dewey, 44.5% für Truman, 6% für Andere, Quelle: The Gallup Poll: Public Opinion 1935 - 1971
Republikanisch	Tendenz Republikanisch	Verwirrende Abstimmungssituation	Unentschieden	Tendenz Demokratisch	Demokratisch
Republikanisch	Demokratisch				
AL	Verwirrende Abstimmungssituation	0	28.00	0	
AK	NULL	0	0	0	
AZ	Demokratisch	4	44.00	53.00	
AR	Demokratisch	9	32.00	53.00	
CA	Republikanisch	25	52.00	43.00	
CO	Tendenz Republikanisch	6	50.00	49.00	
CT	Republikanisch	8	52.00	44.00	
DE	Tendenz Republikanisch	3	51.00	47.00	
DC	NULL	0	0	0	
FL	Demokratisch	8	35.00	45.00	
GA	Demokratisch	12	22.00	58.00	
HI	NULL	0	0	0	
ID	Tendenz Republikanisch	4	49.00	47.00	
IL	Republikanisch	28	54.00	46.00	
IN	Republikanisch	13	54.00	44.00	
IA	Republikanisch	10	54.00	43.00	
KS	Republikanisch	8	60.00	39.00	
KY	Tendenz Demokratisch	11	46.00	49.00	
LA	Verwirrende Abstimmungssituation	0	27.00	39.00	
ME	Republikanisch	5	56.00	42.00	
MD	Republikanisch	8	53.00	44.00	
MA	Republikanisch	16	52.00	45.00	
MI	Republikanisch	19	53.00	44.00	
MN	Tendenz Republikanisch	11	51.00	46.00	
MS	Verwirrende Abstimmungssituation	0	9.00	15.00	
MO	Tendenz Demokratisch	15	47.00	52.00	
MT	Tendenz Demokratisch	4	48.00	50.00	
NE	Republikanisch	6	62.00	38.00	
NV	Tendenz Republikanisch	3	50.00	47.00	
NH	Republikanisch	4	54.00	44.00	
NJ	Republikanisch	16	54.00	42.00	
NM	Tendenz Demokratisch	4	47.00	51.00	
NY	Republikanisch	47	51.00	39.00	
NC	Demokratisch	14	36.00	51.00	
ND	Republikanisch	4	57.00	38.00	
OH	Republikanisch	25	55.00	42.00	
OK	Demokratisch	10	45.00	55.00	
OR	Republikanisch	6	54.00	42.00	
PA	Republikanisch	35	52.00	44.00	
RI	Demokratisch	4	44.00	54.00	
SC	Verwirrende Abstimmungssituation	0	9.00	38.00	
SD	Republikanisch	4	58.00	41.00	
TN	Demokratisch	12	39.00	51.00	
TX	Demokratisch	23	24.00	66.00	
UT	Tendenz Demokratisch	4	49.00	50.00	
VT	Republikanisch	3	64.00	35.00	
VA	Tendenz Republikanisch	11	45.00	44.00	
WA	Tendenz Republikanisch	8	48.00	47.00	
WV	Tendenz Republikanisch	8	51.00	46.00	
WI	Republikanisch	12	56.00	41.00	
WY	Tendenz Republikanisch	3	51.00	47.00	
