MapVis
Hoover (R) v. Roosevelt (D)	1932	Literary Digest	usa.svg	colorgradientusfull.png	3'064'497 Wahlzettel, 1'150'398 für Hoover, 1'715'789 für Roosevelt, Quelle: Literary Digest 5. November, 1932
Republikanisch	Tendenz Republikanisch	Drittpartei	Unentschieden	Tendenz Demokratisch	Demokratisch
Republikanisch	Demokratisch
AL	Demokratisch	11	16.99	80.18
AK	NULL	0	0	0
AZ	Demokratisch	3	32.81	62.58
AR	Demokratisch	9	18.20	79.55
CA	Demokratisch	22	33.82	61.51
CO	Demokratisch	6	42.33	50.67
CT	Republikanisch	8	54.89	35.01
DE	Tendenz Demokratisch	3	45.77	48.88
DC	NULL	0	0	0
FL	Demokratisch	7	27.04	68.62
GA	Demokratisch	12	12.85	84.83
HI	NULL	0	0	0
ID	Demokratisch	4	36.14	56.80
IL	Demokratisch	29	39.26	54.41
IN	Demokratisch	14	40.82	54.25
IA	Demokratisch	11	39.75	56.04
KS	Demokratisch	9	42.56	52.57
KY	Demokratisch	11	33.49	63.40
LA	Demokratisch	10	16.81	79.99
ME	Republikanisch	5	56.07	40.43
MD	Demokratisch	8	29.95	62.81
MA	Republikanisch	17	58.40	33.34
MI	Demokratisch	19	39.13	55.04
MN	Demokratisch	11	36.00	57.67
MS	Demokratisch	9	9.39	88.33
MO	Demokratisch	15	34.30	62.22
MT	Demokratisch	4	38.67	55.10
NE	Demokratisch	7	33.82	62.14
NV	Demokratisch	3	30.56	65.65
NH	Republikanisch	4	57.46	38.28
NJ	Republikanisch	16	49.29	41.01
NM	Demokratisch	3	37.75	57.49
NY	Tendenz Demokratisch	47	43.89	46.11
NC	Demokratisch	13	25.34	71.61
ND	Demokratisch	4	33.59	60.33
OH	Demokratisch	26	39.22	52.89
OK	Demokratisch	11	30.13	64.39
OR	Demokratisch	5	33.57	60.58
PA	Demokratisch	36	38.62	51.75
RI	Republikanisch	4	52.62	41.87
SC	Demokratisch	8	9.07	88.74
SD	Demokratisch	4	37.84	58.47
TN	Demokratisch	11	28.99	68.03
TX	Demokratisch	23	16.58	80.65
UT	Demokratisch	4	34.49	60.16
VT	Republikanisch	3	57.59	38.45
VA	Demokratisch	11	27.29	69.44
WA	Demokratisch	8	33.56	60.87
WV	Demokratisch	8	37.12	59.83
WI	Demokratisch	12	30.33	62.51
WY	Demokratisch	3	40.45	53.54
