MapVis
Hoover v. Roosevelt	1932	Actual Results	usa.svg	colorgradientusfull.png	Election Results not considering faithless Electors
Republican	Leaning Republican	3rd	Tie	Leaning Democrat	Democrat
Republican	Democrat
AL	Democrat	11	14.13	84.74
AK	NULL	0	0	0
AZ	Democrat	3	30.53	67.03
AR	Democrat	9	12.91	85.96
CA	Democrat	22	37.39	58.39
CO	Democrat	6	41.43	54.81
CT	Republican	8	48.54	47.40
DE	Republican	3	50.55	48.11
DC	NULL	0	0	0
FL	Democrat	7	25.04	74.68
GA	Democrat	12	7.77	91.60
HI	NULL	0	0	0
ID	Democrat	4	38.27	58.66
IL	Democrat	29	42.04	55.23
IN	Democrat	14	42.94	54.67
IA	Democrat	11	39.98	57.69
KS	Democrat	9	44.13	53.56
KY	Democrat	11	40.15	59.06
LA	Democrat	10	7.01	92.79
ME	Republican	5	55.83	43.19
MD	Democrat	8	36.04	61.50
MA	Democrat	17	46.64	50.64
MI	Democrat	19	44.44	52.36
MN	Democrat	11	36.29	59.91
MS	Democrat	9	3.55	95.98
MO	Democrat	15	35.08	63.69
MT	Democrat	4	36.07	58.80
NE	Democrat	7	35.29	62.98
NV	Democrat	3	30.59	69.41
NH	Republican	4	50.42	48.99
NJ	Democrat	16	47.59	49.49
NM	Democrat	3	35.76	62.72
NY	Democrat	47	41.33	54.07
NC	Democrat	13	29.28	69.93
ND	Democrat	4	28.00	69.59
OH	Democrat	26	47.03	49.88
OK	Democrat	11	26.70	73.30
OR	Democrat	5	36.88	57.99
PA	Republican	36	50.84	45.33
RI	Democrat	4	43.31	55.08
SC	Democrat	8	1.89	98.03
SD	Democrat	4	34.40	63.62
TN	Democrat	11	32.48	66.49
TX	Democrat	23	11.35	88.06
UT	Democrat	4	41.05	56.52
VT	Republican	3	57.66	41.08
VA	Democrat	11	30.09	68.46
WA	Democrat	8	33.94	57.46
WV	Democrat	8	44.47	54.47
WI	Democrat	12	31.19	63.46
WY	Democrat	3	40.82	56.07
