MapVis
Trump v. Clinton	2016	Actual Results	usa.svg	colorgradientusfull.png	Election Results not considering faithless Electors
Republican	Leaning Republican	3rd	Tie	Leaning Democrat	Democrat
Republican	Democrat
AL	Republican	9	48.67	45.13
AK	Republican	3	62.08	34.36
AZ	Republican	11	51.28	36.55
AR	Republican	6	60.57	33.65
CA	Democrat	55	31.62	61.73
CO	Democrat	9	43.25	48.16
CT	Democrat	7	40.93	54.57
DE	Democrat	3	41.92	53.35
DC	Democrat	3	4.09	90.86
FL	Republican	29	49.02	47.82
GA	Republican	16	51.05	45.89
HI	Democrat	4	30.04	62.22
ID	Republican	4	59.26	27.49
IL	Democrat	20	38.76	55.83
IN	Republican	11	56.94	37.77
IA	Republican	6	51.15	41.74
KS	Republican	6	56.65	36.05
KY	Republican	8	62.52	32.68
LA	Republican	8	58.09	38.45
ME	Democrat	2	44.87	47.83
MD	Democrat	10	33.91	60.33
MA	Democrat	11	32.81	60.01
MI	Republican	16	47.50	47.27
MN	Democrat	10	44.92	46.44
MS	Republican	6	57.94	40.11
MO	Republican	10	56.77	38.14
MT	Republican	3	56.17	35.75
NE	Republican	5	58.75	33.7
NV	Democrat	6	45.50	47.92
NH	Democrat	4	46.47	46.83
NJ	Democrat	14	41.35	55.45
NM	Democrat	5	40.04	48.26
NY	Democrat	29	36.52	59.01
NC	Republican	15	49.83	46.17
ND	Republican	3	62.96	27.23
OH	Republican	18	51.69	43.56
OK	Republican	7	65.32	28.93
OR	Democrat	7	39.09	50.07
PA	Republican	20	48.58	47.85
RI	Democrat	4	38.90	54.41
SC	Republican	9	54.94	40.67
SD	Republican	3	61.53	31.74
TN	Republican	11	60.72	34.72
TX	Republican	38	52.23	43.24
UT	Republican	6	45.54	27.46
VT	Democrat	3	30.27	56.68
VA	Democrat	13	44.43	49.75
WA	Democrat	12	36.30	51.78
WV	Republican	5	68.63	26.48
WI	Republican	10	47.22	46.45
WY	Republican	3	68.17	21.88
M1	Democrat	1	39.15	53.96
M2	Republican	1	51.26	40.98
